Co Code,Nominal Code,Nominal Name,Posting Dt,Per,Jnl Ref,Ln,Narrative,Amount DR,Amount CR,Ccy,Src
AU01,1000,Cash at Bank,2026-02-13,FY2026,J-1012,4,Payroll and administration settled,0.00,28350.00,AUD,ERP-X
AU01,5000,Cost of Sales,2026-03-19,FY2026,J-1013,1,Goods received - March,33200.00,0.00,AUD,ERP-X
AU01,6000,Operating Expenses,2026-03-19,FY2026,J-1013,2,Inward freight - March,2800.00,0.00,AUD,ERP-X
AU01,2000,Trade Payables,2026-03-19,FY2026,J-1013,3,Supplier invoices payable - March,0.00,36000.00,AUD,ERP-X
AU01,1100,Trade Receivables,2026-04-24,FY2026,J-1014,1,Sales invoiced on credit - batch 1,57000.00,0.00,AUD,ERP-X
AU01,1100,Trade Receivables,2026-04-24,FY2026,J-1014,2,Sales invoiced on credit - batch 2,19500.00,0.00,AUD,ERP-X
AU01,4100,Sales Revenue,2026-04-24,FY2026,J-1014,3,Sales revenue - April,0.00,76500.00,AUD,ERP-X
AU01,6000,Operating Expenses,2026-05-15,FY2026,J-1015,1,Bank charges - May,1200.00,0.00,AUD,ERP-X
AU01,6000,Operating Expenses,2026-05-15,FY2026,J-1015,2,Premises costs - May,7450.00,0.00,AUD,ERP-X
AU01,6000,Operating Expenses,2026-05-15,FY2026,J-1015,3,Professional fees - May,3300.00,0.00,AUD,ERP-X
AU01,1000,Cash at Bank,2026-05-15,FY2026,J-1015,4,Operating expenses settled,0.00,11950.00,AUD,ERP-X
AU01,5000,Cost of Sales,2026-06-30,FY2026,J-1042,1,Year end accrual - cost of sales,15000.00,0.00,AUD,ERP-X
AU01,6000,Operating Expenses,2026-06-30,FY2026,J-1042,2,Year end accrual - operating costs,4200.00,0.00,AUD,ERP-X
AU01,2000,Trade Payables,2026-06-30,FY2026,J-1042,3,Year end accruals payable,0.00,19200.00,AUD,ERP-X
AU01,5000,Cost of Sales,2026-06-30,FY2026,J-1042,4,Unposted accrual adjustment,250.00,0.00,AUD,ERP-X
AU01,6000,Operating Expenses,2026-05-15,FY2026,J-1015,1,Bank charges - May,1200.00,0.00,AUD,ERP-X
